title,combined_rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,interpark_detail_url,yes24_detail_url,performance_period,cast,venue,sources,final_rank
뮤지컬 [나르치스와 골드문트],1.0,,1.0,,,,,https://ticket.yes24.com/Perf/56091,,,,['yes24'],1
태양의서커스 〈쿠자〉,1.0,1.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25004474_p.gif,https://tickets.interpark.com/goods/25004474,,2025.10.11~12.28,,잠실종합운동장 내 빅탑,['interpark'],2
LOUD BRIDGE FESTIVAL SEOUL 2026,2.0,,2.0,,,,,https://ticket.yes24.com/Perf/56040,,,,['yes24'],3
뮤지컬 〈물랑루즈!〉 (Moulin Rouge! The Musical),2.0,2.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013315_p.gif,https://tickets.interpark.com/goods/25013315,,2025.11.27~2026.2.22,,블루스퀘어 신한카드홀,['interpark'],4
뮤지컬 〈킹키부츠〉,3.0,3.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014553_p.gif,https://tickets.interpark.com/goods/25014553,,2025.12.17~2026.3.29,,샤롯데씨어터,['interpark'],5
tuki. 1ST ASIA TOUR 2026 IN SEOUL,3.0,,3.0,,,,,https://ticket.yes24.com/Perf/55989,,,,['yes24'],6
뮤지컬 데스노트(The Musical Death Note),4.0,4.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25012652_p.gif,https://tickets.interpark.com/goods/25012652,,2025.10.14~2026.5.10,,디큐브 링크아트센터,['interpark'],7
뮤지컬 <이솝이야기>,4.0,,4.0,,4.0,,,https://ticket.yes24.com/Perf/55944,,,,['yes24'],8
2025 뮤지컬 [미드나잇 : 액터뮤지션],5.0,,5.0,,,,,https://ticket.yes24.com/Perf/55930,,,,['yes24'],9
뮤지컬 〈미세스 다웃파이어〉,5.0,5.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011168_p.gif,https://tickets.interpark.com/goods/25011168,,2025.9.27~12.7,,샤롯데씨어터,['interpark'],10
뮤지컬 〈한복 입은 남자〉,6.0,6.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014050_p.gif,https://tickets.interpark.com/goods/25014050,,2025.12.2~2026.3.8,,충무아트센터 대극장,['interpark'],11
가족뮤지컬 [정승제의 수학대모험 : 수포자의 비밀] - 서울,6.0,,6.0,,,,,https://ticket.yes24.com/Perf/55854,,,,['yes24'],12
뮤지컬 〈빨래〉,7.0,7.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25012969_p.gif,https://tickets.interpark.com/goods/25012969,,2025.10.3~2026.5.31,,NOL 유니플렉스 2관,['interpark'],13
연극 〈엘리펀트 송〉,7.0,,7.0,,,,,https://ticket.yes24.com/Perf/55851,,,,['yes24'],14
뮤지컬 〈렌트〉,8.0,8.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013145_p.gif,https://tickets.interpark.com/goods/25013145,,2025.11.9~2026.2.22,,코엑스아티움,['interpark'],15
뮤지컬 〈EVITA〉,9.0,9.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013554_p.gif,https://tickets.interpark.com/goods/25013554,,2025.11.7~2026.1.11,,광림아트센터 BBCH홀,['interpark'],16
지소쿠리클럽 연말 단독 콘서트 〈Into the Wild〉,9.0,,9.0,,,,,https://ticket.yes24.com/Perf/55818,,,,['yes24'],17
뮤지컬 〈레드북〉,10.0,10.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011651_p.gif,https://tickets.interpark.com/goods/25011651,,2025.9.23~12.7,,유니버설아트센터,['interpark'],18
뮤지컬 [해몽가],10.0,,10.0,,0.0,,,https://ticket.yes24.com/Perf/55772,,,,['yes24'],19
뮤지컬 〈트레이스 유〉,11.0,11.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015463_p.gif,https://tickets.interpark.com/goods/25015463,,2025.12.4~2026.3.1,,링크아트센터 벅스홀,['interpark'],20
뮤지컬 [어쩌면 해피엔딩] - YES24DAY,11.0,,11.0,,,,,https://ticket.yes24.com/Perf/55763,,,,['yes24'],21
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),11.5,15.0,8.0,,,https://ticketimage.interpark.com/Play/image/large/25/25015528_p.gif,https://tickets.interpark.com/goods/25015528,https://ticket.yes24.com/Perf/55838,2026.1.7~3.22,,예술의전당 오페라극장,"['interpark', 'yes24']",22
뮤지컬 슈가 〈SUGAR〉,12.0,12.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015110_p.gif,https://tickets.interpark.com/goods/25015110,,2025.12.12~2026.2.22,,한전아트센터,['interpark'],23
뮤지컬 슈가 [SUGAR],12.0,,12.0,,,,,https://ticket.yes24.com/Perf/55750,,,,['yes24'],24
뮤지컬 〈위키드〉 내한공연 - 부산 (WICKED The Musical),13.0,13.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25012917_p.gif,https://tickets.interpark.com/goods/25012917,,2025.11.13~2026.1.18,,부산 드림씨어터,['interpark'],25
〈슬립노모어 서울〉 (Sleep No More Seoul),13.0,13.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25008376_p.gif,https://tickets.interpark.com/goods/25008376,,2025.7.24~12.31,,매키탄 호텔 (The McKithan Hotel),['interpark'],26
뮤지컬 [캐빈],14.0,,14.0,,,,,https://ticket.yes24.com/Perf/55710,,,,['yes24'],27
뮤지컬 [존 도우],15.0,,15.0,,,,,https://ticket.yes24.com/Perf/55670,,,,['yes24'],28
〈라이프 오브 파이〉 한국 초연（Life of Pi）,16.0,16.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013804_p.gif,https://tickets.interpark.com/goods/25013804,,2025.11.29~2026.3.2,,GS아트센터,['interpark'],29
뮤지컬 크리스마스 캐럴,16.0,,16.0,,,,,https://ticket.yes24.com/Perf/55607,,,,['yes24'],30
뮤지컬 〈데카브리〉,17.0,17.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25011252_p.gif,https://tickets.interpark.com/goods/25011252,,2025.9.10~11.30,,NOL 서경스퀘어 스콘 1관,['interpark'],31
COUNTDOWN FANTASY 2025-2026,17.0,,17.0,,,,,https://ticket.yes24.com/Perf/55543,,,,['yes24'],32
