title,rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,detail_url,yes24_detail_url,performance_period,booking_rate,venue,source,crawled_at,final_rank
뮤지컬 〈MAD HATTER〉,1,1.0,,9.9,,https://ticketimage.interpark.com/Play/image/large/25/25013704_p.gif,https://tickets.interpark.com/goods/25013704,,2025.10.22 ~ 2026.1.18,13.0,,interpark,2025-11-04T16:22:36.642246,1
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),2,2.0,1.0,,,https://ticketimage.interpark.com/Play/image/large/25/25015528_p.gif,https://tickets.interpark.com/goods/25015528,https://ticket.yes24.com/Perf/55838,,10.2,,both,2025-11-04T16:22:36.642254,2
태양의서커스 〈쿠자〉,3,3.0,32.0,9.7,5.0,https://ticketimage.interpark.com/Play/image/large/25/25004474_p.gif,https://tickets.interpark.com/goods/25004474,https://ticket.yes24.com/Perf/53879,,9.4,,both,2025-11-04T16:22:36.642256,3
뮤지컬 〈아몬드〉,4,4.0,,9.4,,https://ticketimage.interpark.com/Play/image/large/25/25011300_p.gif,https://tickets.interpark.com/goods/25011300,,,8.0,,interpark,2025-11-04T16:22:36.642257,4
〈라이프 오브 파이〉 한국 초연（Life of Pi）,5,5.0,17.0,,,https://ticketimage.interpark.com/Play/image/large/25/25013804_p.gif,https://tickets.interpark.com/goods/25013804,https://ticket.yes24.com/Perf/55338,2025.11.29 ~ 2026.3.2,5.1,,both,2025-11-04T16:22:36.642258,5
뮤지컬 〈물랑루즈!〉 (Moulin Rouge! The Musical),6,6.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013315_p.gif,https://tickets.interpark.com/goods/25013315,,2025.11.27 ~ 2026.2.22,4.9,,interpark,2025-11-04T16:22:36.642260,6
화성시 예술단 뮤지컬 「틸틸과 미틸」 - 화성,7,7.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25016096_p.gif,https://tickets.interpark.com/goods/25016096,,,4.7,,interpark,2025-11-04T16:22:36.642261,7
뮤지컬 〈미세스 다웃파이어〉,8,8.0,,9.7,,https://ticketimage.interpark.com/Play/image/large/25/25011168_p.gif,https://tickets.interpark.com/goods/25011168,,,4.4,,interpark,2025-11-04T16:22:36.642262,8
뮤지컬 데스노트(The Musical Death Note),9,9.0,,9.7,,https://ticketimage.interpark.com/Play/image/large/25/25012652_p.gif,https://tickets.interpark.com/goods/25012652,,2025.10.14 ~ 2026.5.10,3.4,,interpark,2025-11-04T16:22:36.642265,9
뮤지컬 〈한복 입은 남자〉,10,10.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014050_p.gif,https://tickets.interpark.com/goods/25014050,,2025.12.2 ~ 2026.3.8,2.5,,interpark,2025-11-04T16:22:36.642267,10
뮤지컬 〈레드북〉,11,11.0,,9.8,,https://ticketimage.interpark.com/Play/image/large/25/25011651_p.gif,https://tickets.interpark.com/goods/25011651,,,2.3,,interpark,2025-11-04T16:22:36.642268,11
뮤지컬 〈렌트〉,12,12.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25013145_p.gif,https://tickets.interpark.com/goods/25013145,,2025.11.9 ~ 2026.2.22,1.8,,interpark,2025-11-04T16:22:36.642269,12
뮤지컬 〈킹키부츠〉,13,13.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25014553_p.gif,https://tickets.interpark.com/goods/25014553,,2025.12.17 ~ 2026.3.29,1.8,,interpark,2025-11-04T16:22:36.642270,13
뮤지컬 〈보니 앤 클라이드〉,14,14.0,,,,https://ticketimage.interpark.com/Play/image/large/25/25015688_p.gif,https://tickets.interpark.com/goods/25015688,,2025.12.11 ~ 2026.3.2,1.4,,interpark,2025-11-04T16:22:36.642271,14
