title,rank,rating,image_url,detail_url,performance_period,booking_rate,cast,venue,price_info,source,crawled_at
태양의서커스 〈쿠자〉,1,,https://ticketimage.interpark.com/Play/image/large/25/25004474_p.gif,https://tickets.interpark.com/goods/25004474,2025.10.11~12.28,13.2,,잠실종합운동장 내 빅탑,,interpark,2025-11-18T13:26:19.163407
뮤지컬 〈물랑루즈!〉 (Moulin Rouge! The Musical),2,,https://ticketimage.interpark.com/Play/image/large/25/25013315_p.gif,https://tickets.interpark.com/goods/25013315,2025.11.27~2026.2.22,11.8,,블루스퀘어 신한카드홀,,interpark,2025-11-18T13:26:19.163417
뮤지컬 〈킹키부츠〉,3,,https://ticketimage.interpark.com/Play/image/large/25/25014553_p.gif,https://tickets.interpark.com/goods/25014553,2025.12.17~2026.3.29,11.3,,샤롯데씨어터,,interpark,2025-11-18T13:26:19.163419
뮤지컬 데스노트(The Musical Death Note),4,,https://ticketimage.interpark.com/Play/image/large/25/25012652_p.gif,https://tickets.interpark.com/goods/25012652,2025.10.14~2026.5.10,5.3,,디큐브 링크아트센터,,interpark,2025-11-18T13:26:19.163420
뮤지컬 〈미세스 다웃파이어〉,5,,https://ticketimage.interpark.com/Play/image/large/25/25011168_p.gif,https://tickets.interpark.com/goods/25011168,2025.9.27~12.7,4.8,,샤롯데씨어터,,interpark,2025-11-18T13:26:19.163421
뮤지컬 〈한복 입은 남자〉,6,,https://ticketimage.interpark.com/Play/image/large/25/25014050_p.gif,https://tickets.interpark.com/goods/25014050,2025.12.2~2026.3.8,4.0,,충무아트센터 대극장,,interpark,2025-11-18T13:26:19.163422
뮤지컬 〈빨래〉,7,,https://ticketimage.interpark.com/Play/image/large/25/25012969_p.gif,https://tickets.interpark.com/goods/25012969,2025.10.3~2026.5.31,3.3,,NOL 유니플렉스 2관,,interpark,2025-11-18T13:26:19.163424
뮤지컬 〈렌트〉,8,,https://ticketimage.interpark.com/Play/image/large/25/25013145_p.gif,https://tickets.interpark.com/goods/25013145,2025.11.9~2026.2.22,3.0,,코엑스아티움,,interpark,2025-11-18T13:26:19.163425
뮤지컬 〈EVITA〉,9,,https://ticketimage.interpark.com/Play/image/large/25/25013554_p.gif,https://tickets.interpark.com/goods/25013554,2025.11.7~2026.1.11,2.9,,광림아트센터 BBCH홀,,interpark,2025-11-18T13:26:19.163426
뮤지컬 〈레드북〉,10,,https://ticketimage.interpark.com/Play/image/large/25/25011651_p.gif,https://tickets.interpark.com/goods/25011651,2025.9.23~12.7,2.7,,유니버설아트센터,,interpark,2025-11-18T13:26:19.163427
뮤지컬 〈트레이스 유〉,11,,https://ticketimage.interpark.com/Play/image/large/25/25015463_p.gif,https://tickets.interpark.com/goods/25015463,2025.12.4~2026.3.1,2.6,,링크아트센터 벅스홀,,interpark,2025-11-18T13:26:19.163428
뮤지컬 슈가 〈SUGAR〉,12,,https://ticketimage.interpark.com/Play/image/large/25/25015110_p.gif,https://tickets.interpark.com/goods/25015110,2025.12.12~2026.2.22,2.4,,한전아트센터,,interpark,2025-11-18T13:26:19.163429
〈슬립노모어 서울〉 (Sleep No More Seoul),13,,https://ticketimage.interpark.com/Play/image/large/25/25008376_p.gif,https://tickets.interpark.com/goods/25008376,2025.7.24~12.31,2.1,,매키탄 호텔 (The McKithan Hotel),,interpark,2025-11-18T13:26:19.163431
뮤지컬 〈위키드〉 내한공연 - 부산 (WICKED The Musical),13,,https://ticketimage.interpark.com/Play/image/large/25/25012917_p.gif,https://tickets.interpark.com/goods/25012917,2025.11.13~2026.1.18,2.1,,부산 드림씨어터,,interpark,2025-11-18T13:26:19.163432
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),15,,https://ticketimage.interpark.com/Play/image/large/25/25015528_p.gif,https://tickets.interpark.com/goods/25015528,2026.1.7~3.22,1.6,,예술의전당 오페라극장,,interpark,2025-11-18T13:26:19.163433
〈라이프 오브 파이〉 한국 초연（Life of Pi）,16,,https://ticketimage.interpark.com/Play/image/large/25/25013804_p.gif,https://tickets.interpark.com/goods/25013804,2025.11.29~2026.3.2,1.4,,GS아트센터,,interpark,2025-11-18T13:26:19.163434
뮤지컬 〈데카브리〉,17,,https://ticketimage.interpark.com/Play/image/large/25/25011252_p.gif,https://tickets.interpark.com/goods/25011252,2025.9.10~11.30,1.4,,NOL 서경스퀘어 스콘 1관,,interpark,2025-11-18T13:26:19.163435
뮤지컬 〈아몬드〉,18,,https://ticketimage.interpark.com/Play/image/large/25/25011300_p.gif,https://tickets.interpark.com/goods/25011300,2025.9.19~12.14,1.3,,NOL 유니플렉스 1관,,interpark,2025-11-18T13:26:19.163436
뮤지컬 〈MAD HATTER〉,18,,https://ticketimage.interpark.com/Play/image/large/25/25013704_p.gif,https://tickets.interpark.com/goods/25013704,2025.10.22~2026.1.18,1.3,,링크아트센터드림 드림2관,,interpark,2025-11-18T13:26:19.163437
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 한국투어 20주년 - 대구,20,,https://ticketimage.interpark.com/Play/image/large/25/25011980_p.gif,https://tickets.interpark.com/goods/25011980,2025.11.14~11.23,1.2,,대구오페라하우스,,interpark,2025-11-18T13:26:19.163438
2025 뮤지컬 〈미세스 다웃파이어〉 - 천안,21,,https://ticketimage.interpark.com/Play/image/large/25/25015325_p.gif,https://tickets.interpark.com/goods/25015325,2025.12.27~12.28,1.1,,천안예술의전당 대공연장,,interpark,2025-11-18T13:26:19.163439
뮤지컬 〈윌리엄과 윌리엄의 윌리엄들〉 2025,21,,https://ticketimage.interpark.com/Play/image/large/25/25010888_p.gif,https://tickets.interpark.com/goods/25010888,2025.9.16~11.30,1.1,,NOL 서경스퀘어 스콘 2관,,interpark,2025-11-18T13:26:19.163440
