title,rank,rating,image_url,detail_url,performance_period,booking_rate,cast,venue,price_info,source,crawled_at
뮤지컬 〈MAD HATTER〉,1,9.9,https://ticketimage.interpark.com/Play/image/large/25/25013704_p.gif,https://tickets.interpark.com/goods/25013704,2025.10.22 ~ 2026.1.18,13.0,,,,interpark,2025-11-04T16:21:31.070108
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),2,,https://ticketimage.interpark.com/Play/image/large/25/25015528_p.gif,https://tickets.interpark.com/goods/25015528,,10.2,,,,interpark,2025-11-04T16:21:31.070116
태양의서커스 〈쿠자〉,3,9.7,https://ticketimage.interpark.com/Play/image/large/25/25004474_p.gif,https://tickets.interpark.com/goods/25004474,,9.4,,,,interpark,2025-11-04T16:21:31.070119
뮤지컬 〈아몬드〉,4,9.4,https://ticketimage.interpark.com/Play/image/large/25/25011300_p.gif,https://tickets.interpark.com/goods/25011300,,8.0,,,,interpark,2025-11-04T16:21:31.070120
〈라이프 오브 파이〉 한국 초연（Life of Pi）,5,,https://ticketimage.interpark.com/Play/image/large/25/25013804_p.gif,https://tickets.interpark.com/goods/25013804,2025.11.29 ~ 2026.3.2,5.1,,,,interpark,2025-11-04T16:21:31.070122
뮤지컬 〈물랑루즈!〉 (Moulin Rouge! The Musical),6,,https://ticketimage.interpark.com/Play/image/large/25/25013315_p.gif,https://tickets.interpark.com/goods/25013315,2025.11.27 ~ 2026.2.22,4.9,,,,interpark,2025-11-04T16:21:31.070123
화성시 예술단 뮤지컬 「틸틸과 미틸」 - 화성,7,,https://ticketimage.interpark.com/Play/image/large/25/25016096_p.gif,https://tickets.interpark.com/goods/25016096,,4.7,,,,interpark,2025-11-04T16:21:31.070125
뮤지컬 〈미세스 다웃파이어〉,8,9.7,https://ticketimage.interpark.com/Play/image/large/25/25011168_p.gif,https://tickets.interpark.com/goods/25011168,,4.4,,,,interpark,2025-11-04T16:21:31.070126
뮤지컬 데스노트(The Musical Death Note),9,9.7,https://ticketimage.interpark.com/Play/image/large/25/25012652_p.gif,https://tickets.interpark.com/goods/25012652,2025.10.14 ~ 2026.5.10,3.4,,,,interpark,2025-11-04T16:21:31.070127
뮤지컬 〈한복 입은 남자〉,10,,https://ticketimage.interpark.com/Play/image/large/25/25014050_p.gif,https://tickets.interpark.com/goods/25014050,2025.12.2 ~ 2026.3.8,2.5,,,,interpark,2025-11-04T16:21:31.070128
뮤지컬 〈레드북〉,11,9.8,https://ticketimage.interpark.com/Play/image/large/25/25011651_p.gif,https://tickets.interpark.com/goods/25011651,,2.3,,,,interpark,2025-11-04T16:21:31.070130
뮤지컬 〈렌트〉,12,,https://ticketimage.interpark.com/Play/image/large/25/25013145_p.gif,https://tickets.interpark.com/goods/25013145,2025.11.9 ~ 2026.2.22,1.8,,,,interpark,2025-11-04T16:21:31.070131
뮤지컬 〈킹키부츠〉,13,,https://ticketimage.interpark.com/Play/image/large/25/25014553_p.gif,https://tickets.interpark.com/goods/25014553,2025.12.17 ~ 2026.3.29,1.8,,,,interpark,2025-11-04T16:21:31.070132
뮤지컬 〈보니 앤 클라이드〉,14,,https://ticketimage.interpark.com/Play/image/large/25/25015688_p.gif,https://tickets.interpark.com/goods/25015688,2025.12.11 ~ 2026.3.2,1.4,,,,interpark,2025-11-04T16:21:31.070133
뮤지컬 〈빨래〉,16,9.4,https://ticketimage.interpark.com/Play/image/large/25/25012969_p.gif,https://tickets.interpark.com/goods/25012969,2025.10.3 ~ 2026.5.31,1.2,,,,interpark,2025-11-04T16:21:31.070135
〈슬립노모어 서울〉 (Sleep No More Seoul),17,9.0,https://ticketimage.interpark.com/Play/image/large/25/25008376_p.gif,https://tickets.interpark.com/goods/25008376,,1.0,,,,interpark,2025-11-04T16:21:31.070136
뮤지컬 〈위키드〉 내한공연 - 부산 (WICKED The Musical),18,,https://ticketimage.interpark.com/Play/image/large/25/25012917_p.gif,https://tickets.interpark.com/goods/25012917,2025.11.13 ~ 2026.1.18,1.0,,,,interpark,2025-11-04T16:21:31.070137
